crop_type,disease_type,disease_stage,crop_stage,region,is_organic_farming,temperature,humidity,rainfall,soil_ph,nitrogen,organic_pesticide,organic_application_method,organic_dosage,organic_frequency,non_organic_pesticide,non_organic_application_method,non_organic_dosage,non_organic_frequency
kidneybeans,stem rot,mid,fruiting,Karnataka,0,29.2,56.4,3,6.87,54.7,Panchagavya,Drip irrigation,4.3 ml/L water,Every 5 days,Confidor,Soil application,2.4 g/L water,Once every 12 days
kidneybeans,root rot,early,fruiting,Maharashtra,0,31.5,59.0,2,6.52,33.2,Garlic-chilli extract,Drip irrigation,3.5 ml/L water,Every 6 days,Carbendazim,Broadcast spraying,1.9 g/L water,Once every 20 days
apple,powdery mildew,advanced,seedling,Karnataka,1,28.6,63.0,1,6.21,37.4,Panchagavya,Drip irrigation,2.1 ml/L water,Every 7 days,Ridomil Gold,Broadcast spraying,1.1 g/L water,Once every 17 days
tomato,stem rot,mid,flowering,Tamil Nadu,0,29.9,72.2,0,6.72,45.6,Neem oil spray,Drip irrigation,4.8 ml/L water,Every 10 days,Carbendazim,Foliar spray,1.8 g/L water,Once every 12 days
papaya,powdery mildew,early,fruiting,Maharashtra,1,30.9,70.7,0,5.85,47.5,Neem oil spray,Foliar spray,4.5 ml/L water,Every 6 days,Fungicide M-45,Soil application,1.7 g/L water,Once every 11 days
watermelon,root rot,mid,fruiting,Tamil Nadu,0,31.6,80.0,1,5.93,25.9,Neem oil spray,Seed treatment,2.8 ml/L water,Every 10 days,Carbendazim,Soil application,1.9 g/L water,Once every 14 days
barley,downy mildew,mid,seedling,Karnataka,1,29.3,59.2,4,6.92,50.9,Garlic-chilli extract,Foliar spray,4.9 ml/L water,Every 8 days,Chlorpyrifos,Soil application,2.5 g/L water,Once every 10 days
chickpea,powdery mildew,advanced,flowering,Karnataka,0,33.2,82.2,4,6.21,40.7,Panchagavya,Seed treatment,2.9 ml/L water,Every 5 days,Thiamethoxam,Foliar spray,1.2 g/L water,Once every 13 days
cotton,leaf blight,advanced,vegetative,Maharashtra,0,30.6,64.5,5,6.5,46.7,Fish amino acid,Foliar spray,2.7 ml/L water,Every 5 days,Tilt (propiconazole),Soil application,1.7 g/L water,Once every 13 days
lentil,downy mildew,mid,vegetative,Punjab,0,30.6,56.9,1,6.46,41.6,Fish amino acid,Drip irrigation,4.4 ml/L water,Every 7 days,Bavistin,Broadcast spraying,2.6 g/L water,Once every 19 days
lentil,root rot,early,flowering,Karnataka,0,28.3,82.1,2,6.0,37.2,Neem oil spray,Foliar spray,2.6 ml/L water,Every 10 days,Ridomil Gold,Soil application,1.9 g/L water,Once every 12 days
apple,root rot,advanced,fruiting,Tamil Nadu,0,31.1,82.8,1,6.43,37.4,Garlic-chilli extract,Foliar spray,4.0 ml/L water,Every 5 days,Bavistin,Broadcast spraying,1.4 g/L water,Once every 12 days
pomegranate,downy mildew,mid,vegetative,Maharashtra,0,32.4,80.2,3,6.66,43.4,Beauveria bassiana,Drip irrigation,4.8 ml/L water,Every 10 days,Tilt (propiconazole),Broadcast spraying,1.9 g/L water,Once every 18 days
banana,powdery mildew,advanced,fruiting,Tamil Nadu,1,31.3,73.7,2,6.31,37.5,Neem oil spray,Foliar spray,4.0 ml/L water,Every 8 days,Fungicide M-45,Foliar spray,1.7 g/L water,Once every 18 days
papaya,downy mildew,mid,flowering,Maharashtra,1,31.7,58.7,5,6.54,41.4,Beauveria bassiana,Seed treatment,4.6 ml/L water,Every 6 days,Carbendazim,Soil application,1.8 g/L water,Once every 20 days
tomato,leaf blight,mid,flowering,Karnataka,1,27.3,62.7,4,6.54,36.9,Panchagavya,Foliar spray,2.7 ml/L water,Every 10 days,Tilt (propiconazole),Foliar spray,3.0 g/L water,Once every 17 days
pigeonpeas,leaf blight,mid,seedling,Punjab,1,31.0,59.9,3,6.97,35.2,Trichoderma viride,Seed treatment,4.3 ml/L water,Every 7 days,Confidor,Foliar spray,1.3 g/L water,Once every 14 days
lentil,root rot,advanced,fruiting,Maharashtra,1,29.3,69.6,7,6.45,38.1,Garlic-chilli extract,Soil drench,2.2 ml/L water,Every 10 days,Bavistin,Broadcast spraying,1.7 g/L water,Once every 14 days
mothbeans,downy mildew,mid,seedling,Tamil Nadu,1,29.1,59.1,0,6.87,37.4,Panchagavya,Seed treatment,4.7 ml/L water,Every 7 days,Thiamethoxam,Foliar spray,1.9 g/L water,Once every 12 days
potato,powdery mildew,mid,vegetative,Punjab,1,27.5,73.1,4,6.34,60.1,Neem oil spray,Drip irrigation,4.1 ml/L water,Every 10 days,Bavistin,Soil application,2.5 g/L water,Once every 20 days
papaya,root rot,mid,fruiting,Tamil Nadu,0,29.1,67.5,1,6.26,45.3,Panchagavya,Seed treatment,2.8 ml/L water,Every 7 days,Ridomil Gold,Broadcast spraying,2.8 g/L water,Once every 18 days
banana,powdery mildew,advanced,vegetative,Maharashtra,1,29.3,56.3,4,6.79,34.0,Garlic-chilli extract,Soil drench,3.7 ml/L water,Every 5 days,Bavistin,Foliar spray,2.0 g/L water,Once every 11 days
pigeonpeas,powdery mildew,advanced,fruiting,Tamil Nadu,1,30.8,55.7,1,6.51,50.2,Garlic-chilli extract,Soil drench,3.1 ml/L water,Every 6 days,Bavistin,Foliar spray,3.0 g/L water,Once every 19 days
muskmelon,downy mildew,mid,seedling,Bihar,0,35.1,67.6,1,5.96,37.6,Panchagavya,Soil drench,3.7 ml/L water,Every 9 days,Carbendazim,Soil application,1.2 g/L water,Once every 17 days
wheat,root rot,mid,vegetative,Maharashtra,1,32.9,51.4,0,6.8,22.2,Cow urine solution,Soil drench,3.7 ml/L water,Every 10 days,Fungicide M-45,Broadcast spraying,1.1 g/L water,Once every 18 days
coconut,stem rot,advanced,fruiting,Tamil Nadu,0,32.7,79.1,5,7.12,43.4,Garlic-chilli extract,Drip irrigation,3.6 ml/L water,Every 5 days,Bavistin,Foliar spray,1.5 g/L water,Once every 17 days
mothbeans,stem rot,mid,flowering,Tamil Nadu,1,24.7,51.6,2,7.0,31.2,Trichoderma viride,Foliar spray,3.9 ml/L water,Every 10 days,Bavistin,Soil application,2.4 g/L water,Once every 16 days
cotton,root rot,mid,vegetative,Bihar,0,31.3,61.0,3,6.02,36.1,Neem oil spray,Foliar spray,2.1 ml/L water,Every 6 days,Confidor,Foliar spray,1.1 g/L water,Once every 12 days
pomegranate,downy mildew,advanced,vegetative,Karnataka,1,31.7,72.2,4,6.74,43.2,Garlic-chilli extract,Seed treatment,4.2 ml/L water,Every 10 days,Chlorpyrifos,Broadcast spraying,1.0 g/L water,Once every 17 days
onion,powdery mildew,mid,fruiting,Bihar,1,27.7,74.6,2,6.32,37.6,Beauveria bassiana,Foliar spray,2.7 ml/L water,Every 5 days,Thiamethoxam,Soil application,1.4 g/L water,Once every 16 days
pigeonpeas,powdery mildew,early,fruiting,Maharashtra,0,29.8,79.2,2,6.5,54.3,Trichoderma viride,Soil drench,2.9 ml/L water,Every 10 days,Thiamethoxam,Broadcast spraying,1.7 g/L water,Once every 12 days
chickpea,downy mildew,mid,fruiting,Tamil Nadu,1,27.8,70.9,3,6.09,32.2,Panchagavya,Foliar spray,2.4 ml/L water,Every 6 days,Fungicide M-45,Foliar spray,2.8 g/L water,Once every 20 days
grapes,powdery mildew,advanced,flowering,Tamil Nadu,1,28.7,56.5,1,6.63,39.8,Panchagavya,Soil drench,4.0 ml/L water,Every 5 days,Tilt (propiconazole),Foliar spray,2.8 g/L water,Once every 10 days
pigeonpeas,powdery mildew,advanced,vegetative,Tamil Nadu,0,32.5,54.7,0,6.0,48.4,Fish amino acid,Drip irrigation,2.8 ml/L water,Every 10 days,Confidor,Broadcast spraying,1.1 g/L water,Once every 18 days
coconut,downy mildew,early,fruiting,Maharashtra,0,28.2,82.6,2,6.67,45.8,Beauveria bassiana,Drip irrigation,3.5 ml/L water,Every 10 days,Thiamethoxam,Foliar spray,2.6 g/L water,Once every 17 days
pomegranate,root rot,advanced,fruiting,Karnataka,1,23.6,72.2,3,6.23,42.6,Beauveria bassiana,Seed treatment,3.0 ml/L water,Every 9 days,Confidor,Soil application,1.0 g/L water,Once every 18 days
tomato,downy mildew,advanced,flowering,Punjab,1,32.9,52.5,0,6.05,42.5,Garlic-chilli extract,Seed treatment,4.1 ml/L water,Every 6 days,Fungicide M-45,Foliar spray,1.1 g/L water,Once every 19 days
tomato,stem rot,mid,vegetative,Karnataka,1,31.1,60.0,2,6.23,29.0,Cow dung decoction,Seed treatment,3.7 ml/L water,Every 10 days,Carbendazim,Soil application,2.7 g/L water,Once every 10 days
barley,root rot,early,vegetative,Bihar,0,33.2,73.0,3,6.47,34.4,Beauveria bassiana,Soil drench,4.0 ml/L water,Every 10 days,Chlorpyrifos,Broadcast spraying,2.6 g/L water,Once every 16 days
lentil,powdery mildew,early,vegetative,Karnataka,1,36.0,53.0,1,6.34,37.0,Garlic-chilli extract,Foliar spray,3.8 ml/L water,Every 5 days,Ridomil Gold,Broadcast spraying,1.8 g/L water,Once every 12 days
maize,root rot,mid,flowering,Tamil Nadu,0,32.7,79.8,2,5.88,29.1,Trichoderma viride,Soil drench,3.1 ml/L water,Every 8 days,Carbendazim,Broadcast spraying,2.2 g/L water,Once every 18 days
wheat,leaf blight,advanced,flowering,Karnataka,0,31.4,55.6,3,6.59,40.3,Fish amino acid,Seed treatment,3.5 ml/L water,Every 5 days,Confidor,Soil application,1.8 g/L water,Once every 11 days
sugarcane,powdery mildew,early,vegetative,Tamil Nadu,0,28.1,68.9,1,6.6,48.2,Trichoderma viride,Drip irrigation,4.8 ml/L water,Every 7 days,Bavistin,Broadcast spraying,2.2 g/L water,Once every 15 days
mango,leaf blight,early,flowering,Tamil Nadu,0,28.6,69.6,1,6.56,43.3,Panchagavya,Foliar spray,4.2 ml/L water,Every 6 days,Fungicide M-45,Foliar spray,2.8 g/L water,Once every 17 days
mango,root rot,mid,fruiting,Karnataka,1,27.9,63.5,2,6.53,21.9,Neem oil spray,Seed treatment,2.1 ml/L water,Every 7 days,Confidor,Foliar spray,1.8 g/L water,Once every 15 days
banana,root rot,mid,vegetative,Maharashtra,1,33.9,67.1,6,7.07,41.6,Panchagavya,Foliar spray,4.3 ml/L water,Every 8 days,Confidor,Broadcast spraying,1.4 g/L water,Once every 16 days
mango,powdery mildew,advanced,vegetative,Tamil Nadu,1,31.4,59.2,3,6.6,52.2,Fish amino acid,Seed treatment,3.3 ml/L water,Every 9 days,Bavistin,Foliar spray,1.4 g/L water,Once every 15 days
cotton,downy mildew,mid,flowering,Maharashtra,1,27.4,69.2,3,6.37,41.2,Trichoderma viride,Seed treatment,3.8 ml/L water,Every 10 days,Chlorpyrifos,Soil application,2.5 g/L water,Once every 14 days
muskmelon,powdery mildew,mid,flowering,Karnataka,1,32.4,71.6,2,6.52,40.8,Cow urine solution,Foliar spray,3.9 ml/L water,Every 6 days,Fungicide M-45,Broadcast spraying,2.0 g/L water,Once every 11 days
banana,powdery mildew,mid,seedling,Punjab,0,31.4,67.1,4,6.27,38.5,Fish amino acid,Seed treatment,2.8 ml/L water,Every 5 days,Bavistin,Broadcast spraying,2.1 g/L water,Once every 13 days
onion,downy mildew,mid,seedling,Bihar,0,30.1,55.6,1,6.82,34.8,Cow dung decoction,Seed treatment,2.6 ml/L water,Every 8 days,Carbendazim,Broadcast spraying,1.9 g/L water,Once every 10 days
millet,stem rot,mid,vegetative,Tamil Nadu,1,29.7,75.7,1,6.6,36.7,Cow dung decoction,Seed treatment,3.0 ml/L water,Every 8 days,Fungicide M-45,Foliar spray,2.1 g/L water,Once every 18 days
grapes,downy mildew,early,fruiting,Maharashtra,1,34.6,55.8,2,6.78,36.3,Cow urine solution,Soil drench,4.2 ml/L water,Every 10 days,Tilt (propiconazole),Soil application,2.4 g/L water,Once every 18 days
onion,leaf blight,early,fruiting,Tamil Nadu,1,31.2,59.2,2,6.36,41.3,Beauveria bassiana,Seed treatment,3.0 ml/L water,Every 5 days,Bavistin,Soil application,1.9 g/L water,Once every 11 days
onion,stem rot,advanced,fruiting,Bihar,1,30.7,61.7,4,6.36,23.5,Cow urine solution,Foliar spray,2.2 ml/L water,Every 7 days,Carbendazim,Broadcast spraying,1.3 g/L water,Once every 18 days
jute,root rot,advanced,seedling,Bihar,0,30.4,57.9,4,6.62,23.6,Trichoderma viride,Seed treatment,2.6 ml/L water,Every 7 days,Tilt (propiconazole),Soil application,2.6 g/L water,Once every 18 days
muskmelon,downy mildew,advanced,fruiting,Tamil Nadu,1,29.5,61.1,2,6.53,40.5,Garlic-chilli extract,Soil drench,3.8 ml/L water,Every 7 days,Fungicide M-45,Foliar spray,2.8 g/L water,Once every 10 days
pomegranate,powdery mildew,early,flowering,Karnataka,0,32.8,57.2,1,6.36,50.0,Garlic-chilli extract,Soil drench,3.1 ml/L water,Every 5 days,Ridomil Gold,Broadcast spraying,1.1 g/L water,Once every 14 days
pomegranate,downy mildew,advanced,fruiting,Bihar,0,30.1,60.5,1,6.26,29.1,Cow urine solution,Seed treatment,4.9 ml/L water,Every 8 days,Thiamethoxam,Foliar spray,1.2 g/L water,Once every 15 days
blackgram,powdery mildew,early,vegetative,Maharashtra,0,32.9,86.4,1,6.97,32.9,Cow dung decoction,Foliar spray,4.5 ml/L water,Every 7 days,Bavistin,Soil application,1.6 g/L water,Once every 20 days
maize,downy mildew,early,flowering,Karnataka,1,31.2,70.3,0,6.45,32.8,Garlic-chilli extract,Foliar spray,4.4 ml/L water,Every 8 days,Carbendazim,Foliar spray,2.8 g/L water,Once every 12 days
maize,downy mildew,early,seedling,Bihar,0,28.7,70.8,1,6.46,30.1,Beauveria bassiana,Drip irrigation,2.2 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,2.8 g/L water,Once every 20 days
pomegranate,powdery mildew,early,vegetative,Tamil Nadu,0,27.4,60.7,4,6.57,31.3,Cow dung decoction,Seed treatment,3.9 ml/L water,Every 10 days,Ridomil Gold,Broadcast spraying,2.7 g/L water,Once every 14 days
lentil,downy mildew,advanced,vegetative,Bihar,1,23.4,60.2,1,6.85,40.9,Fish amino acid,Drip irrigation,2.8 ml/L water,Every 10 days,Bavistin,Broadcast spraying,1.1 g/L water,Once every 12 days
mothbeans,stem rot,advanced,fruiting,Bihar,0,28.1,56.8,3,6.23,47.9,Garlic-chilli extract,Soil drench,3.0 ml/L water,Every 10 days,Thiamethoxam,Foliar spray,1.3 g/L water,Once every 18 days
muskmelon,stem rot,mid,fruiting,Punjab,1,27.2,69.6,2,6.48,37.7,Neem oil spray,Drip irrigation,3.6 ml/L water,Every 10 days,Ridomil Gold,Broadcast spraying,1.9 g/L water,Once every 16 days
coffee,leaf blight,mid,fruiting,Maharashtra,0,28.3,62.0,0,6.55,32.2,Trichoderma viride,Drip irrigation,2.2 ml/L water,Every 7 days,Chlorpyrifos,Foliar spray,2.9 g/L water,Once every 11 days
kidneybeans,downy mildew,early,vegetative,Karnataka,1,36.4,60.1,0,6.28,38.1,Cow urine solution,Seed treatment,4.5 ml/L water,Every 7 days,Fungicide M-45,Broadcast spraying,2.0 g/L water,Once every 18 days
papaya,powdery mildew,early,flowering,Punjab,1,28.6,42.9,2,6.18,27.2,Cow urine solution,Drip irrigation,2.2 ml/L water,Every 6 days,Ridomil Gold,Soil application,1.3 g/L water,Once every 17 days
maize,stem rot,early,seedling,Punjab,0,23.8,55.3,1,6.38,47.0,Neem oil spray,Foliar spray,4.1 ml/L water,Every 10 days,Chlorpyrifos,Broadcast spraying,2.7 g/L water,Once every 10 days
pigeonpeas,powdery mildew,mid,fruiting,Bihar,0,31.8,68.5,2,6.14,43.2,Trichoderma viride,Soil drench,3.4 ml/L water,Every 5 days,Confidor,Foliar spray,1.3 g/L water,Once every 16 days
apple,powdery mildew,early,vegetative,Karnataka,1,32.0,74.3,3,6.46,55.8,Fish amino acid,Foliar spray,3.8 ml/L water,Every 7 days,Tilt (propiconazole),Soil application,1.8 g/L water,Once every 15 days
banana,root rot,mid,seedling,Maharashtra,1,33.6,65.3,3,6.21,36.7,Panchagavya,Drip irrigation,3.4 ml/L water,Every 8 days,Tilt (propiconazole),Broadcast spraying,1.1 g/L water,Once every 16 days
coffee,leaf blight,advanced,seedling,Tamil Nadu,0,34.1,75.4,3,6.29,56.7,Beauveria bassiana,Seed treatment,3.3 ml/L water,Every 9 days,Carbendazim,Foliar spray,2.7 g/L water,Once every 17 days
watermelon,powdery mildew,mid,vegetative,Bihar,0,33.6,65.5,4,6.56,40.0,Beauveria bassiana,Foliar spray,3.6 ml/L water,Every 5 days,Bavistin,Soil application,2.9 g/L water,Once every 14 days
papaya,root rot,advanced,vegetative,Maharashtra,1,33.7,49.7,1,6.39,50.3,Panchagavya,Foliar spray,4.9 ml/L water,Every 9 days,Carbendazim,Soil application,1.7 g/L water,Once every 17 days
pigeonpeas,powdery mildew,early,seedling,Punjab,0,36.7,65.1,1,5.89,45.0,Fish amino acid,Drip irrigation,3.1 ml/L water,Every 6 days,Tilt (propiconazole),Foliar spray,2.2 g/L water,Once every 15 days
muskmelon,powdery mildew,early,vegetative,Karnataka,0,27.2,63.4,2,6.98,46.3,Beauveria bassiana,Seed treatment,4.4 ml/L water,Every 5 days,Confidor,Soil application,1.3 g/L water,Once every 20 days
maize,stem rot,advanced,fruiting,Tamil Nadu,0,29.1,62.5,0,6.17,30.0,Fish amino acid,Drip irrigation,2.1 ml/L water,Every 9 days,Thiamethoxam,Soil application,2.0 g/L water,Once every 14 days
orange,root rot,advanced,vegetative,Punjab,0,28.2,85.8,1,6.6,41.9,Trichoderma viride,Seed treatment,3.6 ml/L water,Every 7 days,Bavistin,Foliar spray,2.8 g/L water,Once every 18 days
mothbeans,powdery mildew,mid,vegetative,Bihar,1,29.3,55.3,1,6.08,38.3,Cow urine solution,Seed treatment,2.7 ml/L water,Every 9 days,Confidor,Foliar spray,2.8 g/L water,Once every 12 days
potato,root rot,mid,seedling,Tamil Nadu,0,30.6,59.6,3,6.87,35.1,Trichoderma viride,Seed treatment,4.9 ml/L water,Every 5 days,Bavistin,Broadcast spraying,2.3 g/L water,Once every 10 days
millet,stem rot,mid,vegetative,Bihar,0,27.6,56.5,3,6.7,34.2,Cow urine solution,Drip irrigation,4.6 ml/L water,Every 10 days,Tilt (propiconazole),Soil application,1.1 g/L water,Once every 11 days
potato,root rot,mid,fruiting,Bihar,1,34.6,70.1,4,6.25,53.6,Cow urine solution,Foliar spray,3.5 ml/L water,Every 9 days,Bavistin,Broadcast spraying,2.7 g/L water,Once every 20 days
sugarcane,downy mildew,mid,flowering,Karnataka,0,31.9,85.2,1,6.61,41.0,Panchagavya,Soil drench,2.5 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,1.4 g/L water,Once every 12 days
coconut,root rot,mid,fruiting,Karnataka,1,28.6,52.3,1,6.11,36.7,Fish amino acid,Foliar spray,4.0 ml/L water,Every 5 days,Chlorpyrifos,Soil application,1.6 g/L water,Once every 20 days
mothbeans,stem rot,mid,flowering,Karnataka,0,31.1,72.9,0,6.32,38.4,Garlic-chilli extract,Drip irrigation,3.2 ml/L water,Every 8 days,Tilt (propiconazole),Broadcast spraying,2.2 g/L water,Once every 14 days
chickpea,stem rot,mid,seedling,Punjab,1,28.4,80.6,1,6.87,25.5,Trichoderma viride,Foliar spray,4.4 ml/L water,Every 9 days,Tilt (propiconazole),Broadcast spraying,1.5 g/L water,Once every 13 days
coconut,leaf blight,advanced,fruiting,Tamil Nadu,1,36.4,65.4,1,6.02,39.2,Garlic-chilli extract,Soil drench,3.3 ml/L water,Every 8 days,Ridomil Gold,Foliar spray,2.5 g/L water,Once every 10 days
sugarcane,leaf blight,early,vegetative,Karnataka,1,28.7,64.4,2,6.29,31.5,Trichoderma viride,Foliar spray,2.0 ml/L water,Every 6 days,Fungicide M-45,Broadcast spraying,1.5 g/L water,Once every 17 days
watermelon,leaf blight,advanced,seedling,Tamil Nadu,0,33.1,63.4,2,6.75,55.4,Beauveria bassiana,Soil drench,4.4 ml/L water,Every 7 days,Carbendazim,Foliar spray,1.2 g/L water,Once every 11 days
coffee,root rot,early,vegetative,Maharashtra,0,30.9,95.8,6,6.74,37.8,Fish amino acid,Soil drench,2.9 ml/L water,Every 8 days,Carbendazim,Foliar spray,1.7 g/L water,Once every 15 days
maize,stem rot,advanced,flowering,Bihar,1,30.8,71.3,2,6.39,49.6,Cow dung decoction,Soil drench,4.1 ml/L water,Every 5 days,Fungicide M-45,Foliar spray,1.1 g/L water,Once every 15 days
orange,leaf blight,advanced,fruiting,Punjab,0,29.7,61.4,1,6.66,38.5,Neem oil spray,Drip irrigation,4.5 ml/L water,Every 5 days,Carbendazim,Foliar spray,1.6 g/L water,Once every 19 days
maize,root rot,mid,fruiting,Karnataka,0,29.5,76.2,1,6.45,53.1,Beauveria bassiana,Soil drench,4.0 ml/L water,Every 8 days,Bavistin,Broadcast spraying,1.3 g/L water,Once every 19 days
millet,downy mildew,early,flowering,Maharashtra,0,32.6,78.4,2,6.45,40.9,Neem oil spray,Soil drench,4.1 ml/L water,Every 8 days,Thiamethoxam,Broadcast spraying,1.2 g/L water,Once every 16 days
mothbeans,leaf blight,mid,fruiting,Bihar,0,25.5,73.4,2,6.34,42.4,Neem oil spray,Foliar spray,3.8 ml/L water,Every 9 days,Carbendazim,Broadcast spraying,2.4 g/L water,Once every 16 days
grapes,leaf blight,early,fruiting,Maharashtra,1,28.1,57.4,2,5.93,51.3,Trichoderma viride,Foliar spray,2.2 ml/L water,Every 10 days,Confidor,Soil application,2.9 g/L water,Once every 15 days
apple,leaf blight,mid,vegetative,Tamil Nadu,0,26.9,66.1,3,6.07,45.4,Garlic-chilli extract,Soil drench,3.5 ml/L water,Every 6 days,Fungicide M-45,Soil application,1.6 g/L water,Once every 10 days
apple,stem rot,advanced,fruiting,Bihar,0,29.8,49.7,1,6.0,36.5,Fish amino acid,Soil drench,3.0 ml/L water,Every 8 days,Tilt (propiconazole),Soil application,1.0 g/L water,Once every 13 days
wheat,stem rot,advanced,vegetative,Maharashtra,1,33.6,68.1,0,6.5,39.1,Beauveria bassiana,Foliar spray,4.1 ml/L water,Every 8 days,Thiamethoxam,Soil application,2.5 g/L water,Once every 12 days
potato,stem rot,advanced,seedling,Maharashtra,1,31.2,76.5,1,6.51,43.3,Beauveria bassiana,Soil drench,4.6 ml/L water,Every 10 days,Thiamethoxam,Foliar spray,1.6 g/L water,Once every 14 days
maize,downy mildew,early,flowering,Maharashtra,0,29.4,56.1,0,7.0,34.9,Cow urine solution,Soil drench,2.5 ml/L water,Every 7 days,Confidor,Broadcast spraying,1.3 g/L water,Once every 13 days
potato,downy mildew,mid,fruiting,Punjab,1,26.4,53.8,2,6.31,40.2,Fish amino acid,Soil drench,2.6 ml/L water,Every 5 days,Ridomil Gold,Soil application,2.8 g/L water,Once every 13 days
papaya,leaf blight,early,fruiting,Maharashtra,1,30.7,64.9,3,6.67,34.7,Panchagavya,Drip irrigation,4.7 ml/L water,Every 5 days,Chlorpyrifos,Foliar spray,1.9 g/L water,Once every 14 days
potato,powdery mildew,advanced,seedling,Tamil Nadu,0,31.3,61.4,2,6.15,44.9,Garlic-chilli extract,Foliar spray,3.5 ml/L water,Every 5 days,Bavistin,Soil application,1.4 g/L water,Once every 12 days
banana,leaf blight,mid,flowering,Maharashtra,0,28.5,73.9,2,6.42,49.1,Panchagavya,Seed treatment,3.4 ml/L water,Every 8 days,Thiamethoxam,Foliar spray,1.8 g/L water,Once every 19 days
mungbean,leaf blight,mid,fruiting,Bihar,1,27.8,61.0,1,6.55,36.6,Beauveria bassiana,Soil drench,3.0 ml/L water,Every 6 days,Carbendazim,Foliar spray,1.9 g/L water,Once every 11 days
cotton,leaf blight,mid,vegetative,Maharashtra,1,27.1,71.3,5,6.43,51.0,Cow dung decoction,Soil drench,3.8 ml/L water,Every 7 days,Tilt (propiconazole),Foliar spray,2.6 g/L water,Once every 20 days
blackgram,leaf blight,early,fruiting,Tamil Nadu,1,24.0,60.9,2,6.11,59.5,Fish amino acid,Seed treatment,4.8 ml/L water,Every 5 days,Chlorpyrifos,Broadcast spraying,2.0 g/L water,Once every 17 days
coconut,stem rot,advanced,seedling,Bihar,1,30.7,79.8,2,6.45,43.4,Panchagavya,Drip irrigation,4.8 ml/L water,Every 8 days,Tilt (propiconazole),Soil application,1.9 g/L water,Once every 10 days
coffee,powdery mildew,mid,seedling,Karnataka,1,30.3,62.3,2,6.14,40.6,Cow dung decoction,Soil drench,3.4 ml/L water,Every 7 days,Tilt (propiconazole),Soil application,1.3 g/L water,Once every 20 days
wheat,powdery mildew,mid,seedling,Punjab,1,34.2,62.9,5,6.43,42.4,Cow dung decoction,Drip irrigation,4.0 ml/L water,Every 6 days,Chlorpyrifos,Foliar spray,1.8 g/L water,Once every 12 days
muskmelon,stem rot,advanced,fruiting,Bihar,0,36.2,53.6,2,6.54,39.3,Panchagavya,Soil drench,4.9 ml/L water,Every 8 days,Thiamethoxam,Foliar spray,1.1 g/L water,Once every 11 days
pomegranate,root rot,early,fruiting,Karnataka,1,32.8,49.5,3,6.64,47.7,Neem oil spray,Soil drench,3.4 ml/L water,Every 6 days,Confidor,Soil application,2.7 g/L water,Once every 17 days
maize,stem rot,early,seedling,Punjab,1,27.4,51.0,3,5.67,40.7,Cow dung decoction,Drip irrigation,3.7 ml/L water,Every 5 days,Chlorpyrifos,Foliar spray,1.0 g/L water,Once every 18 days
coconut,root rot,mid,fruiting,Maharashtra,1,33.3,55.6,2,6.65,34.8,Cow urine solution,Foliar spray,2.1 ml/L water,Every 8 days,Bavistin,Foliar spray,2.5 g/L water,Once every 14 days
apple,stem rot,mid,seedling,Tamil Nadu,1,33.7,60.4,1,6.99,48.4,Neem oil spray,Drip irrigation,3.2 ml/L water,Every 9 days,Bavistin,Broadcast spraying,2.2 g/L water,Once every 13 days
coffee,root rot,early,seedling,Tamil Nadu,0,33.1,84.6,3,6.04,39.9,Fish amino acid,Seed treatment,3.3 ml/L water,Every 7 days,Chlorpyrifos,Broadcast spraying,2.8 g/L water,Once every 10 days
pigeonpeas,downy mildew,early,vegetative,Punjab,1,26.8,66.3,0,6.71,48.7,Cow dung decoction,Drip irrigation,2.5 ml/L water,Every 10 days,Fungicide M-45,Foliar spray,1.4 g/L water,Once every 12 days
mothbeans,leaf blight,mid,seedling,Maharashtra,0,31.8,67.1,2,6.84,15.8,Cow dung decoction,Soil drench,2.9 ml/L water,Every 10 days,Bavistin,Soil application,1.9 g/L water,Once every 17 days
jute,powdery mildew,early,flowering,Punjab,1,27.9,71.8,2,6.41,41.1,Beauveria bassiana,Foliar spray,4.2 ml/L water,Every 10 days,Fungicide M-45,Soil application,1.6 g/L water,Once every 16 days
cotton,downy mildew,mid,vegetative,Punjab,0,26.0,68.8,0,6.29,25.6,Trichoderma viride,Seed treatment,4.8 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,1.0 g/L water,Once every 18 days
blackgram,powdery mildew,mid,seedling,Bihar,0,28.9,77.4,3,6.29,29.7,Panchagavya,Drip irrigation,4.9 ml/L water,Every 5 days,Bavistin,Foliar spray,2.1 g/L water,Once every 17 days
grapes,powdery mildew,advanced,fruiting,Punjab,1,27.0,67.2,3,6.64,48.6,Trichoderma viride,Seed treatment,3.8 ml/L water,Every 7 days,Tilt (propiconazole),Foliar spray,2.3 g/L water,Once every 11 days
mungbean,powdery mildew,early,flowering,Bihar,0,30.6,69.5,1,6.33,35.1,Neem oil spray,Drip irrigation,3.3 ml/L water,Every 10 days,Tilt (propiconazole),Broadcast spraying,2.1 g/L water,Once every 19 days
coffee,stem rot,advanced,flowering,Punjab,0,28.0,79.3,1,7.18,46.2,Fish amino acid,Seed treatment,2.4 ml/L water,Every 5 days,Ridomil Gold,Broadcast spraying,1.8 g/L water,Once every 16 days
